"group","album","id","Selfdetermination","style","language","City","sex","region","Название.трека","audio","image","Ссылка.на.группу","listen","isaudio","aprize","year","duration","used_link_newname","locallink"
"LAUD","Музика","sing161","","pop","українська","Київ","чоловіча","київ","Muzika","LAUD_Muzika.mp3","https://toloka.to/photos/181025122857804752_f0_0.jpg","https://www.facebook.com/laudenjoy/?ref=br_rs","https://soundcloud.com/enjoylaud/sets/music","yes","усі альбоми","2018","","img/covers18/cpu1dlYRqa.JPEG","yes"
"Leftie","Caveman On a Date","sing162","idm, electronic","electronic","немає","Київ","чоловіча","київ","","","http://freake.ru/uploads/music/2018-05/1527011706-6648.jpg","","https://itunes.apple.com/us/album/caveman-on-a-date/1387553958?fbclid=IwAR2p7qCSuwXFQKm0fiDK_KURy4C7KfBK3wSkjJCpSEUOZGu0PlTZgiMuM4g","","усі альбоми","2018","","img/covers18/yL0mCHFCIz.JPEG","yes"
"LemOjOviE","We Do","sing163","Funk, Soul, Nu Disco, Hip-Hop","hip hop & rap","мікс","Київ","чоловіча","київ","","","http://freake.ru/uploads/music/2018-02/350-1519212829-5444.jpg","https://www.facebook.com/lemojovie/","https://itunes.apple.com/ua/album/we-do/1340996107?l=ru","","усі альбоми","2018","","img/covers18/MMLEBudpKE.JPEG","yes"
"Lutomysl","Ecce Homo","sing164","Black Metal","metal","українська","Житомир","чоловіча","північ","","","https://f4.bcbits.com/img/a0068071196_16.jpg","https://www.facebook.com/Lutomysl/","https://lutomysl.bandcamp.com/album/ecce-homo","","усі альбоми","2018","","img/covers18/ZTaWpa5V5S.JPEG","yes"
"Lyudska Podoba","Volnydorozhkibarashki","sing165","Experimental electronic pop","avant-garde","специфічна","Київ","мікс","київ","Illuzii Svoi","Lyudska_Podoba_Illuzii_Svoi.mp3","https://f4.bcbits.com/img/a3570139740_16.jpg","https://www.facebook.com/LyudskaPodoba/","https://itunes.apple.com/ua/album/volnydorozhkibarashki/1437747002?i=1437747225","yes","усі альбоми","2018","","img/covers18/b0jCs8C2ve.JPEG","yes"
"Mamanet","Pop","sing166","pop","pop","мікс","Краматорськ","чоловіча","схід","","","https://i1.sndcdn.com/artworks-000450082899-0i4cdj-t500x500.jpg","https://www.facebook.com/mamanetgroup/","https://itunes.apple.com/us/album/pop/1444229935","","усі альбоми","2018","","img/covers18/xg7ftISlsb.JPEG","yes"
"Marakesh","Новый День","sing167","Rock","rock","російська","Berlin","чоловіча","закордон","","","https://f4.bcbits.com/img/a2935581704_10.jpg","https://www.facebook.com/marakeshmusic/","https://soundcloud.com/marakeshband/sets/newday","","усі альбоми","2018","","img/covers18/ZomtQQVLxV.JPEG","yes"
"MARU","POMPIDOU","sing168","","indie","мікс","Київ","мікс","київ","","","http://rs.img.com.ua/crop?v2=1&w=600&h=0&url=%2F%2Fv.img.com.ua%2Fb%2Forig%2Fd%2F96%2F8e044e50428218d298cb99d50e80e96d.jpg","https://www.facebook.com/MARU.MUSIC.UA/?fref=mentions&__xts__%5b0%5d=68.ARCLzQYi7LpgP0kct6z5022-_hhTsDzV6-1I8ajiIsJg6RAgXnU0DpBgu-cVnbgsXHPr91zn6MYRpEns4p6qJw-0s_fIwxBZBl0MAEh1inKDDQ1Dm3hAa89qp-XAmAvqBXWXac6I2hAk217AzUyHhlFidqbrtDwRKQIhaNE65qxFoalxgUjj9g&__tn__=K-R","https://itunes.apple.com/us/album/pompidou/1435544630?app=itunes&ign-mpt=uo%3D4","","усі альбоми","2018","","img/covers18/34IxvCaFmw.JPEG","yes"
"MARUV","Black Water","sing169","dance","pop","мікс","Київ","мікс","київ","","","https://mexedi.net/uploads/Maruv_-_black.jpg","https://www.facebook.com/MaruvOfficial/","https://itunes.apple.com/ua/album/black-water/1434881391","","усі альбоми","2018","","",""
"Max Tovstyi","Mesmerize","sing170","blues/progressive rock","rock","англійська","Київ","чоловіча","київ","","","https://i4.cdn.hhv.de/catalog/475x475/00609/609504.jpg","https://www.facebook.com/maxtovstyi?hc_ref=ARSQaOuirVUVZNTd5LfkQga6mOOO0KxWN2EmFEtS8qoGgiB1T9DlWX2Cs4YixL1wHDo&fref=nf&post_id=1961341663886014&__tn__=CH-R","https://maxtovstyi.bandcamp.com/album/mesmerize","","усі альбоми","2018","","img/covers18/uZBPrCgnBB.JPEG","yes"
"Mizantropia","Out of mind","sing171","extreme gothic/dark metal","metal","англійська","Запоріжжя","мікс","південь","","","http://www.dailymetal.com.ua/wp-content/uploads/2018/10/ivV4pOGhKJ4-1024x1024.jpg","https://www.facebook.com/Mizantropia-130594892316/","https://www.youtube.com/watch?v=NkdNIV3DLQg","","усі альбоми","2018","","img/covers18/4SBeY2vrtB.JPEG","yes"
"Monotronique","Heat Absorber","sing172","Electronica","electronic","немає","Харків","чоловіча","схід","","","https://f4.bcbits.com/img/a4105798008_10.jpg","https://www.facebook.com/monotroniquebeats/","https://soundcloud.com/monotronique/sets/monotronique-heat-absorber?fbclid=IwAR3-nnGUrPsyt3x6pI1xQc_J_7jQFxbXLgpVJTtunn6AxXEWIfHwJrIJ9TQ","","усі альбоми","2018","","img/covers18/vTc5erPyyL.JPEG","yes"
"MOONZOO","Sad Dance","sing173","electronic","electronic","англійська","Львів","чоловіча","захід","","","https://www.neformat.com.ua/images/imagecache/material_680w/news/46146061_313897185873503_4655654766867644416_n.jpg","https://www.facebook.com/moonzooband/","https://soundcloud.com/moonzooband/sets/moonzoo-sad-dance","","усі альбоми","2018","","img/covers18/85ygxpVS4Z.JPEG","yes"
"Mountain Breeze","Say It Loud","sing174","Pop/Rock","pop","англійська","Полтава","чоловіча","центр","","","https://t2.genius.com/unsafe/220x220/https%3A%2F%2Fimages.genius.com%2F1cc7b0cf39218dc30aaf1e38d33633ca.1000x1000x1.jpg","https://www.facebook.com/mbreezeofficial","https://itunes.apple.com/ua/album/say-it-loud/1374217165?app=itunes&ign-mpt=uo%3D4","","усі альбоми","2018","","","no link"
"Natalka Karpa","Сонцезалежна","sing175","Pop/Rock","pop","мікс","Львів","жіноча","захід","","","https://images.shazam.com/coverart/t318405252-b1413341385_s400.jpg","https://www.facebook.com/natalkakarpa/","https://itunes.apple.com/us/album/%D1%81%D0%BE%D0%BD%D1%86%D0%B5%D0%B7%D0%B0%D0%BB%D0%B5%D0%B6%D0%BD%D0%B0/1413340112","","усі альбоми","2018","","img/covers18/Dc65FC5cPW.JPEG","yes"
"Need Some Air","Generation","sing176","Rock","rock","англійська","Херсон","чоловіча","південь","","","http://moon.ua/uploads/images/news/219/1525424480.jpg","https://www.facebook.com/nsaone","https://itunes.apple.com/ua/album/generation/1375986921?app=itunes&ign-mpt=uo%3D4","","усі альбоми","2018","","img/covers18/L9UWU70gzs.JPEG","yes"
"Nemo 322","Х.Л.А.М.","sing177","hip hop, rap","hip hop & rap","українська","Львів","чоловіча","захід","","","http://cdbaby.name/t/i/tialb01508847_large.jpg?v=7ba0a096-1c3f-4ea5-b03a-80d04599bcbe","https://www.facebook.com/nemo322official/","https://soundcloud.com/nemo322/sets/nemo322-hlam/s-abeRB?fbclid=IwAR2CluKrZ0kneqPQq1m30jrUJ3kiWJSQSqUu7_CrXv9-cuikm2IAfP3Za-s","","усі альбоми","2018","","img/covers18/8ZjdGaybSA.JPEG","yes"
"N.G.L.","Новий рівень гри","sing178","dance electronic & hard core","rock","українська","Київ","чоловіча","київ","","","http://mhz.kiev.ua/mp3/NGL/2018%20-%20Novy%20riven%20gry/cd_b.jpg","https://www.facebook.com/N.G.L.band/?eid=ARBhKqo3DyqHVtYG3nsVRGPcTbNnUZoHTU2wmgNyzEMON6mVwnkqXfQd_juU0MBaEZEsD4srs5pzuNPT","https://www.youtube.com/playlist?list=OLAK5uy_nb0qhRaJHeNV__dGxtHYLwwUCaOqCpKtg","","усі альбоми","2018","","img/covers18/9lxItubrQt.JPEG","yes"
"Nine Hills","TULPA","sing179","","metal","російська","Харків","чоловіча","схід","","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/a0744791108_10.jpg","","https://ninehills.bandcamp.com/album/tulpa","","усі альбоми","2018","","img/covers18/0XeJq4aG55.JPEG","yes"
"NK","No Komments","sing180","pop","pop","мікс","Київ","жіноча","київ","","","https://avatars.yandex.net/get-music-content/119639/27c4e489.a.5807964-1/m1000x1000","https://www.facebook.com/nastya.kamenskux","https://itunes.apple.com/ru/album/no-komments/1437532085?ign-mpt=uo%3D2","","усі альбоми","2018","","",""
"Nooit","OA​-​I","sing181","noise","avant-garde","немає","","інша","інший","","","https://f4.bcbits.com/img/a0177753652_10.jpg","","https://nooit.bandcamp.com/album/oa-i","","усі альбоми","2018","","img/covers18/r7aFDVk222.JPEG","yes"
"Novi","Залишатися справжнім","sing182","","pop","мікс","Київ","мікс","київ","","","https://rock.ua/rockdb/i/cd/full/1074-zalishatisya_spravjnim.jpg","https://www.facebook.com/novibandua","https://www.deezer.com/ru/album/61361122","","усі альбоми","2018","","img/covers18/FP7n1HQgcf.JPEG","yes"
"Numero Nero","Late","sing183","Fast and emotional punk rock band","rock","англійська","Запоріжжя","чоловіча","південь","","","https://f4.bcbits.com/img/a3072026893_10.jpg","https://www.facebook.com/zpnumero/","https://numeronero.bandcamp.com/album/late","","усі альбоми","2018","","img/covers18/vVvKtaJ12D.JPEG","yes"
"One Planet Orchestra","Саме той час!","sing184","","indie","українська","Київ","мікс","київ","","","http://www.nahati.com.ua/wp-content/uploads/2018/02/One_Planet_Orchestra_Na-Hati-Records-s-300x300.jpg.pagespeed.ce.r2NZ2Ldx1l.jpg","https://www.facebook.com/oneplanetorchestra/","https://soundcloud.com/oneplanetorchestra?fbclid=IwAR37oUU8znRK9LpUmWBC_BBNhpKPr89NamYcrN1alZg02GU1uBoIjAwKPFs","","усі альбоми","2018","","img/covers18/Xvnx46OG36.JPEG","yes"
"ONUKA","MOZAЇKA","sing185","electronic","electronic","мікс","Київ","мікс","київ","ANIMAL","Onuka_ANIMAL.mp3","https://i1.sndcdn.com/artworks-000321441057-5qvvj7-t500x500.jpg","https://www.facebook.com/onuka.official/","https://soundcloud.com/onukaofficial/sets/onuka-mozaika","yes","усі альбоми","2018","","img/covers18/wMVHE65XiI.JPEG","yes"
"Orest Filipov","Unseen World","sing186","Jazz","jazz","немає","Київ","чоловіча","київ","","","https://f4.bcbits.com/img/a2519370656_16.jpg","https://www.facebook.com/ForrestFilipps/","https://fancymusic.bandcamp.com/album/unseen-world","","усі альбоми","2018","","img/covers18/KZaoOUUY4Z.JPEG","yes"
"Orpha","Orpha","sing187","Post-hardcore","rock","англійська","Київ","чоловіча","київ","","","https://f4.bcbits.com/img/a1791881131_16.jpg","https://www.facebook.com/orphakyiv/","https://orpha.bandcamp.com/album/orpha","","усі альбоми","2018","","img/covers18/lwOPSurtCJ.JPEG","yes"
"OwlCraft","Enigmatic Dissolution","sing188","Metal","metal","англійська","Черкаси","чоловіча","центр","","","https://f4.bcbits.com/img/a3033304323_16.jpg","https://www.facebook.com/owlkvlt/","https://owlcraftmusic.bandcamp.com/album/enigmatic-dissolution-lp-2018","","усі альбоми","2018","","img/covers18/soXablBFnk.JPEG","yes"
"Palmo X","A.T.C.W.","sing189","Electronic, Pop, Synth","electronic","мікс","Львів","жіноча","захід","","","https://i1.sndcdn.com/artworks-000305075274-sjtp39-t500x500.jpg","https://www.facebook.com/palmoxmusic","https://soundcloud.com/palmo_x/sets/palmo-x-a-t-c-w-album","","усі альбоми","2018","","img/covers18/1CFiqQoBKZ.JPEG","yes"
"Paul Montero","I GIVE YOU MY","sing190","pop","pop","англійська","Дніпро","чоловіча","центр","","","https://i1.sndcdn.com/avatars-000525769635-2c3b4t-t500x500.jpg","https://www.facebook.com/MonteroSinger/","https://soundcloud.com/paul_montero","","усі альбоми","2018","","img/covers18/EmXgEQsiDD.JPEG","yes"
"PIANO","Знаки","sing191","indie","indie","українська","Львів","мікс","захід","","","https://i1.sndcdn.com/artworks-000345125646-6vuezx-t500x500.jpg","https://www.facebook.com/lvivpianoband","https://soundcloud.com/piano-band-1/sets/piano-1","","усі альбоми","2018","","img/covers18/3bzrgQa9t3.JPEG","yes"
"Postman","Everything is New","sing192","indie folk","country","мікс","Київ","чоловіча","київ","Like a Child","Postman_Like_a_Child.mp3","https://img.the-village.com.ua/the-village.com.ua/post_image-image/LuxoslUMWVhsFs1mleTjGw-article.jpg","https://www.facebook.com/postmansings/","https://soundcloud.com/postmanplays/sets/everything-is-new-lp-2018","yes","усі альбоми","2018","","img/covers18/6D8rd7g1e4.JPEG","yes"
"Pree Tone","Kiddy","sing193","nosie rock, shoegaze","rock","англійська","Київ","чоловіча","київ","","","https://f4.bcbits.com/img/a1770073286_10.jpg","https://www.facebook.com/preetone","https://preetone.bandcamp.com/album/kiddy","","усі альбоми","2018","","img/covers18/3EOnticOjO.JPEG","yes"
"PRID PROD","Приехали","sing194","rap","hip hop & rap","мікс","Херсон","чоловіча","південь","","","https://f4.bcbits.com/img/a2906749580_10.jpg","https://www.facebook.com/pridprodpage/","https://suckpuckrecordz.bandcamp.com/album/lp","","усі альбоми","2018","","img/covers18/zLXH72Hi9c.JPEG","yes"
"protoU","Echoes of the Future","sing195","Drone","avant-garde","немає","Київ","жіноча","київ",NA,NA,"https://f4.bcbits.com/img/a3049659111_10.jpg?fbclid=IwAR2AtxocFWsrXGPtkPzrm1jaCCa3T6oFLuZe3KDP_nKKmc6WHtHUak5412I",NA,NA,NA,"усі альбоми","2018","","img/covers18/1e4A7zpGS0.JPEG","yes"
"Pulatova","Рой","sing196","rock","rock","російська","Одеса","мікс","південь","","","https://f4.bcbits.com/img/a1206735480_16.jpg","https://www.facebook.com/pulatova.music/","https://soundcloud.com/pulatova/sets/roy","","усі альбоми","2018","","img/covers18/ilr9QijxT3.JPEG","yes"
"Quiet Observer","Blocks of life","sing197","‪‎progressive metal‬","rock","немає","Ужгород","чоловіча","захід","","","https://f4.bcbits.com/img/a3161331562_16.jpg","","https://parallelsynchronizedrandomness.bandcamp.com/album/blocks-of-life","","усі альбоми","2018","","img/covers18/gn15B9a877.JPEG","yes"
"RapeKit","ClitCult","sing198","porn-grind, downtuned punk","rock","немає","Київ","чоловіча","київ","","","https://f4.bcbits.com/img/a3322433597_16.jpg","https://www.facebook.com/RapeKit-porn-grind-band-460664343958290/","https://rapekit.bandcamp.com/album/clitcult","","усі альбоми","2018","","img/covers18/j4DgyHfPiS.JPEG","yes"
"Raventale","Pathogenesis","sing199","Atmospheric Black Metal","metal","англійська","Київ","чоловіча","київ","","","https://f4.bcbits.com/img/a0783647610_10.jpg","https://www.facebook.com/raventaleofficial/","https://raventale.bandcamp.com/?fbclid=IwAR38rALwxJSvVs6PSqheUydqFO9nJ74o9Rm391pd15y-jpQX3FVDBSUDE5c","","усі альбоми","2018","","img/covers18/GmKPir6Xfi.JPEG","yes"
"Refinders","Skin Effect","sing200","sinty pop, electronic","electronic","англійська","Київ","чоловіча","київ","","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/_23_0.jpg","https://www.facebook.com/refindersband.official/","https://itunes.apple.com/ua/album/skin-effect/1400968018?app=music&ign-mpt=uo%3D4","","усі альбоми","2018","","img/covers18/SZOu5qeDG2.JPEG","yes"
"Relict Trauma","r∅t∅ release","sing201","non-correlationist noise","avant-garde","немає","Чернігів / Київ","чоловіча","північ","","","https://f4.bcbits.com/img/a3890321513_16.jpg","https://www.facebook.com/traumaoflifenoise","https://relicttrauma.bandcamp.com/album/r-t-release-official-album-record-01","","усі альбоми","2018","","img/covers18/SahQNMvqLX.JPEG","yes"
"Relict Trauma","r∅t∅ release","sing202","non-correlationist noise","avant-garde","немає","Чернігів / Київ","чоловіча","північ","","","https://f4.bcbits.com/img/a3890321513_16.jpg","https://www.facebook.com/traumaoflifenoise","https://relicttrauma.bandcamp.com/album/r-t-release-official-album-record-01","","усі альбоми","2018","","img/covers18/SahQNMvqLX.JPEG","yes"
"Relict Trauma","under the Yellow sign","sing203","non-correlationist noise","avant-garde","немає","Чернігів / Київ","чоловіча","північ","","","https://f4.bcbits.com/img/a0117315995_16.jpg","https://www.facebook.com/traumaoflifenoise","https://relicttrauma.bandcamp.com/album/under-the-yellow-sign","","усі альбоми","2018","","img/covers18/zQ10B1tpyc.JPEG","yes"
"Relict Trauma","under the Yellow sign","sing204","non-correlationist noise","avant-garde","немає","Чернігів / Київ","чоловіча","північ","","","https://f4.bcbits.com/img/a0117315995_16.jpg","https://www.facebook.com/traumaoflifenoise","https://relicttrauma.bandcamp.com/album/under-the-yellow-sign","","усі альбоми","2018","","img/covers18/zQ10B1tpyc.JPEG","yes"
"RESOLVENTA","Окаянные дни","sing205","dark hardcore, crust","rock","російська","Київ","чоловіча","київ","","","https://f4.bcbits.com/img/a0840881808_10.jpg","https://www.facebook.com/resolventaband/","https://resolventa.bandcamp.com/album/-","","усі альбоми","2018","","img/covers18/Vv77lRG1os.JPEG","yes"
"Reve ta Stohne","Mythologia","sing206","grunge/folk","avant-garde","українська","Київ","чоловіча","київ","","","https://toloka.to/photos/180303201302195321_f0_0.jpg","https://www.facebook.com/revetastohne/","https://soundcloud.com/reve-ta-stohne/sets/mythologia","","усі альбоми","2018","","img/covers18/z1SjtghWSR.JPEG","yes"
"Riya","Ейфорія","sing207","pop","pop","українська","Київ","жіноча","київ","","","https://toloka.to/photos/180919123223804752_f0_0.jpg","https://www.facebook.com/riyamusic/","https://itunes.apple.com/ua/album/%D0%B5%D0%B9%D1%84%D0%BE%D1%80%D1%96%D1%8F/1436616004?l=ru&fbclid=IwAR2GlcQLT4VTLjkvlcCOhv0jXUeQGeLMdtPrSMEEU18ECcsVNpxoeOJKLvE","","усі альбоми","2018","","img/covers18/HhBnGT0hBl.JPEG","yes"
"Rostyslav Voitko","Above the Crowd","sing208","Jazz","jazz","немає","Вінниця","чоловіча","центр","","","https://i.scdn.co/image/1e4071542a4889c420fa61e4bf8e6d3d9cf26585","","https://itunes.apple.com/ca/album/above-the-crowd/1441802621?fbclid=IwAR1K1ddUAyp9_U2Wqf0nAby3elG-WGZYChSiYd8rFKijGnWvTox2BaT2nzA","","усі альбоми","2018","","img/covers18/uH4vJ7V5cd.JPEG","yes"
"r.roo","Delicate reflex part 3","sing209","electronic","electronic","російська","Київ","чоловіча","київ","Incident with the Man Who Carries a Case","R.roo_Incident_with_the_Man_Who_Carries_a_Case.mp3","https://f4.bcbits.com/img/a1227643159_10.jpg","https://www.facebook.com/rroo.idm/","https://rroo.bandcamp.com/album/delicate-reflex-part-3","yes","усі альбоми","2018","","","no link"
"Satisfaction","Satisfaction, Vol. 1","sing210","Rock","rock","російська","","чоловіча","інший","","","https://direct.rhapsody.com/imageserver/images/Alb.327823827/500x500.jpg","","https://itunes.apple.com/us/album/satisfaction-vol-1/1435528055","","усі альбоми","2018","","img/covers18/9QfC1xiuLA.JPEG","yes"
"Sectorial","VYR","sing211","Blackened Death Metal, Ethnic","metal","українська","Боярка","чоловіча","північ","","","https://noizr.com/files/page/20/5bc793888b6671.jpg","https://www.facebook.com/sectorialUA/","https://sectorial.bandcamp.com/?fbclid=IwAR0LNfu7BBw9WclwF6w-VvW1aECF-JBOi3cCGpQnTF6GytmXVn9D-nETIW8","","усі альбоми","2018","","img/covers18/yuaO1U1q9V.JPEG","yes"
"Sex Blender","Hormonizer","sing212","Psychedelic, Stoner,","rock","немає","Львів","чоловіча","захід","","","https://f4.bcbits.com/img/a3591851549_16.jpg","https://www.facebook.com/sexblender/","https://sexblender.bandcamp.com/album/hormonizer","","усі альбоми","2018","","img/covers18/zkKHx7kgiw.JPEG","yes"
"SHCOLA","Naїve","sing213","dark pop","rock","англійська","Київ","чоловіча","київ","","","https://rock.ua/rockdb/i/cd/full/1033-naive.jpg","https://www.facebook.com/shcolaband/","https://soundcloud.com/shcola/sets/na-ve-2018","","усі альбоми","2018","","img/covers18/lfQTHs1bxj.JPEG","yes"
"Sheetel","Mr. White","sing214","","rock","немає","Київ","чоловіча","київ","","","https://images-na.ssl-images-amazon.com/images/I/51biICauOAL._SS500.jpg","https://www.facebook.com/sheetelmusic/","https://itunes.apple.com/ua/album/mr-white/1444828919?l=uk","","усі альбоми","2018","","img/covers18/EuFQpstW4D.JPEG","yes"
"Sherpa the Tiger","Great Vowel Shift","sing215","krautrock/ambient","electronic","немає","Львів","чоловіча","захід","","","https://f4.bcbits.com/img/a0609264172_10.jpg","https://www.facebook.com/sherpathetiger/","https://itunes.apple.com/ua/album/great-vowel-shift/1384971356?app=music&ign-mpt=uo%3D4","","усі альбоми","2018","","img/covers18/1ChicwOGRv.JPEG","yes"
"SINOPTIK","Fields On Fire","sing216","metal","rock","англійська","Донецьк","чоловіча","схід","","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/a1160045063_10.jpg","https://www.facebook.com/SinoptikBand","https://soundcloud.com/sinoptik_band/sets/fof","","усі альбоми","2018","","img/covers18/ISL3Px8K5Q.JPEG","yes"
"Sleep in Heads","On the Air","sing217","Progressive metal","metal","англійська","Київ","мікс","київ","","","http://www.dailymetal.com.ua/wp-content/uploads/2018/03/Sleep_In_Heads_cover.jpg","https://www.facebook.com/sleepinheads/","https://sleepinheads.bandcamp.com/","","усі альбоми","2018","","img/covers18/hJHiZwOe5R.JPEG","yes"
"Small Depo","ДЕБИЛЬНЫЙ","sing218","post-punk","rock","російська","Київ","мікс","київ","","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/a1501599158_10.jpg","https://www.facebook.com/smalldepo","https://soundcloud.com/smalldepo/sets/debilniy/s-2ID9c","","усі альбоми","2018","","img/covers18/rH8Xfrb7iu.JPEG","yes"
"soda 9000","Скажи ей пусть послушает","sing219","rap","hip hop & rap","російська","Київ","чоловіча","київ","","","https://ar.toneden.io/22331033/1cc4a2ae-50f3-4d7a-aa1e-6f4943812939","","https://itunes.apple.com/ru/album/%D1%81%D0%BA%D0%B0%D0%B6%D0%B8-%D0%B5%D0%B9-%D0%BF%D1%83%D1%81%D1%82%D1%8C-%D0%BF%D0%BE%D1%81%D0%BB%D1%83%D1%88%D0%B0%D0%B5%D1%82/1440171296","","усі альбоми","2018","","","no link"
"Somali Yacht Club","The Sea","sing220","rock","rock","англійська","Львів","чоловіча","захід","","","https://f4.bcbits.com/img/a1537465582_16.jpg","https://www.facebook.com/Somaliyachtclub/","https://robustfellow.bandcamp.com/album/the-sea","","усі альбоми","2018","","img/covers18/nz3g3JGEYT.JPEG","yes"
"Soom","Djebars","sing221","RAVE DOOOM","avant-garde","українська","Харків","чоловіча","схід","","","https://cdn.mp3xa.pw/proxy-static/pp.userapi.com/c845418/v845418587/6b42e/P6VhkBfre4E.jpg","https://www.facebook.com/soomdoom/","https://soom.bandcamp.com/","","усі альбоми","2018","","","no link"
"Space Of Variations","Mind Darknet","sing222","Metal","metal","англійська","Вінниця","чоловіча","центр","","","https://f4.bcbits.com/img/a3935901136_16.jpg","https://www.facebook.com/SpaceOfVariations/","https://itunes.apple.com/ua/album/mind-darknet/1440615828","","усі альбоми","2018","","img/covers18/nVqEMPkiYZ.JPEG","yes"
"SpivOberta","Нові Мости","sing223","Pop, Electronic","pop","українська","Добропілля","чоловіча","схід","","","https://notatky.com.ua/wp-content/uploads/DDsfd-2_2-400.jpg","https://www.facebook.com/spivoberta","https://soundcloud.com/spivoberta/sets/novimosty","","усі альбоми","2018","","",""
"Stars & Mellow","Everywhere","sing224","Alternative","rock","англійська","Київ","чоловіча","київ","","","http://overdrive.com.ua/wp-content/uploads/2018/04/artworks-000299668098-s0w385-t500x500.jpg","https://www.facebook.com/starsandmellow/","https://itunes.apple.com/ua/album/everywhere/1359827842","","усі альбоми","2018","","img/covers18/aoruLzFiZB.JPEG","yes"
"Stoned Jesus","Pilgrims","sing225","rock","rock","англійська","Київ","чоловіча","київ","Thessalia","Stoned_Jesus_Thessalia.mp3","https://f4.bcbits.com/img/a1224613244_10.jpg","https://www.facebook.com/stonedjesusband/","https://itunes.apple.com/us/album/pilgrims/1403423847","yes","усі альбоми","2018","","img/covers18/zsIkiJ3lTt.JPEG","yes"
"stonefromthesky","Spirals","sing226","Electronic/Experimental","electronic","англійська","Київ","чоловіча","київ","","","https://f4.bcbits.com/img/a3908647420_10.jpg","https://www.facebook.com/stonefromthesky","https://iamstonefromthesky.bandcamp.com/album/spirals","","усі альбоми","2018","","img/covers18/QoQf8MIu98.JPEG","yes"
"Svrm","Лихиї вітри стогнуть без упину","sing227","","metal","українська","Харків","чоловіча","схід","","","https://f4.bcbits.com/img/a3070001471_10.jpg","https://www.facebook.com/Svrm-407478693053139/","https://svrm.bandcamp.com/album/--6","","усі альбоми","2018","","img/covers18/5NK6gn6TZ2.JPEG","yes"
"TARABAROVA","23:25","sing228","pop","pop","українська","Київ","жіноча","київ","","","http://www.musicboxua.tv/wp-content/uploads/2018/09/TARABAROVA_23_25.jpg","https://www.facebook.com/TARABAROVAofficial/","https://itunes.apple.com/ua/album/23-25/1436467657","","усі альбоми","2018","","img/covers18/aQF16hQuKw.JPEG","yes"
"The Doox","Ліра","sing229","ethno rock","ethno","українська","Київ","мікс","київ","","","https://notatky.com.ua/wp-content/uploads/doox-lira400.jpg","https://www.facebook.com/thedoox/","https://soundcloud.com/thedoox/sets/the-doox-lira","","усі альбоми","2018","","",""
"The Hardkiss","Залізна ластівка","sing230","Alternative","pop","мікс","Київ","мікс","київ","","","https://upload.wikimedia.org/wikipedia/uk/thumb/6/60/The_Hardkiss_-_%D0%97%D0%B0%D0%BB%D1%96%D0%B7%D0%BD%D0%B0_%D0%BB%D0%B0%D1%81%D1%82%D1%96%D0%B2%D0%BA%D0%B0.jpg/250px-The_Hardkiss_-_%D0%97%D0%B0%D0%BB%D1%96%D0%B7%D0%BD%D0%B0_%D0%BB%D0%B0%D1%81%D1%82%D1%96%D0%B2%D0%BA%D0%B0.jpg","https://www.facebook.com/THEHARDKISS/","https://itunes.apple.com/us/album/%D0%B7%D0%B0%D0%BB%D1%96%D0%B7%D0%BD%D0%B0-%D0%BB%D0%B0%D1%81%D1%82%D1%96%D0%B2%D0%BA%D0%B0/1435487209","","усі альбоми","2018","","img/covers18/x4IP22KKNz.JPEG","yes"
"THE INFESTATION","Fractal Delusion","sing231","Death Metal / Deathcore / Electronic","metal","англійська","Миколаїв","чоловіча","південь","","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/cover_22.jpg","https://www.facebook.com/theinfestationband/","https://theinfestation.bandcamp.com/album/fractal-delusion","","усі альбоми","2018","","img/covers18/JAWpKxWfgQ.JPEG","yes"
"The Nietzsche","Live 201","sing232","Chaotic Hardcore/Mathcore","metal","українська","Одеса","чоловіча","південь","","","https://f4.bcbits.com/img/a3115109261_10.jpg","https://www.facebook.com/thenietzscheband","https://thenietzsche.bandcamp.com/album/live-201","","усі альбоми","2018","","img/covers18/Y5J2lQm7WL.JPEG","yes"
"The Orchestra Of Mirrored Reflections","Narrow Escape","sing233","Dark Jazz","jazz","немає","Дніпро","мікс","центр","","","https://f4.bcbits.com/img/a3108677677_16.jpg","https://www.facebook.com/TheOrchestraOfMirroredReflections","https://joltai.bandcamp.com/album/narrow-escape","","усі альбоми","2018","","img/covers18/0CagLyMZGl.JPEG","yes"
"The Room Without Sun","One More Time With Feelings","sing234","Synthwave","rock","англійська","Berlin","чоловіча","закордон","","","https://www.neformat.com.ua/images/imagecache/material_680w/news/a2717380948_10_0.jpg","https://www.facebook.com/theroomwithoutsun/","https://roomwithoutsun.bandcamp.com/","","усі альбоми","2018","","img/covers18/z9zjAqVRWS.JPEG","yes"
